Model,Feature,Shuffle,Importance_Score
bag_dt,GDP,1,0.007500623265881745
bag_dt,GDP,2,0.2880305584668099
bag_dt,GDP,3,0.08647802885136979
bag_dt,GDP,4,0.1743798743984547
bag_dt,GDP,5,0.09251678143896003
bag_dt,GDP,6,0.0
bag_dt,GDP,7,0.2880305584668099
bag_dt,GDP,8,0.07789512889362782
bag_dt,GDP,9,0.13953577933637995
bag_dt,GDP,10,0.08809364165836553
bag_dt,GDP,11,0.15921693275417415
bag_dt,GDP,12,0.13953577933637995
bag_dt,GDP,13,0.15921693275417415
bag_dt,GDP,14,0.2902833200203577
bag_dt,GDP,15,0.2977839432862396
bag_dt,GDP,16,0.0878407513737478
bag_dt,GDP,17,0.08056675640265909
bag_dt,GDP,18,0.2880305584668099
bag_dt,GDP,19,0.07898404008517657
bag_dt,GDP,20,0.2451792499268296
bag_dt,GDP,21,0.07357404713002602
bag_dt,GDP,22,0.07112241341609937
bag_dt,GDP,23,0.15921693275417415
bag_dt,GDP,24,0.2150828333432201
bag_dt,GDP,25,0.1373874297411649
bag_dt,GDP,26,0.08501615817307828
bag_dt,GDP,27,0.29540743437450956
bag_dt,GDP,28,0.22816742158538406
bag_dt,GDP,29,0.21932354406006915
bag_dt,GDP,30,0.13539629707853962
bag_dt,PM approval,1,0.0701398124444893
bag_dt,PM approval,2,0.4220308656221725
bag_dt,PM approval,3,0.14608164084006947
bag_dt,PM approval,4,0.47382850135747623
bag_dt,PM approval,5,0.33267116387672246
bag_dt,PM approval,6,0.0
bag_dt,PM approval,7,0.4220308656221725
bag_dt,PM approval,8,0.22348076582923293
bag_dt,PM approval,9,0.20320221160826757
bag_dt,PM approval,10,0.01361738729599804
bag_dt,PM approval,11,0.07053052793013193
bag_dt,PM approval,12,0.20320221160826757
bag_dt,PM approval,13,0.07053052793013193
bag_dt,PM approval,14,0.2742582574431206
bag_dt,PM approval,15,0.3443980698876099
bag_dt,PM approval,16,0.37958198307065927
bag_dt,PM approval,17,0.3428287303556924
bag_dt,PM approval,18,0.4220308656221725
bag_dt,PM approval,19,0.07053052793013193
bag_dt,PM approval,20,0.4102566862793069
bag_dt,PM approval,21,0.2702729187213716
bag_dt,PM approval,22,0.1897228143898827
bag_dt,PM approval,23,0.07053052793013193
bag_dt,PM approval,24,0.45186378392362203
bag_dt,PM approval,25,0.16946331483154786
bag_dt,PM approval,26,0.0906520374108537
bag_dt,PM approval,27,0.18691391052768702
bag_dt,PM approval,28,0.37958198307065927
bag_dt,PM approval,29,0.5073121084283193
bag_dt,PM approval,30,0.09183051909698525
bag_dt,Days,1,0.42513175779810375
bag_dt,Days,2,0.401568598197104
bag_dt,Days,3,0.1453297910525425
bag_dt,Days,4,0.7468373972401204
bag_dt,Days,5,0.9693470152737916
bag_dt,Days,6,0.0
bag_dt,Days,7,0.401568598197104
bag_dt,Days,8,0.3933397652169195
bag_dt,Days,9,0.38145618957688776
bag_dt,Days,10,0.27982592727821054
bag_dt,Days,11,0.5425481689626317
bag_dt,Days,12,0.38145618957688776
bag_dt,Days,13,0.5425481689626317
bag_dt,Days,14,0.3902672227581637
bag_dt,Days,15,0.8153989805562675
bag_dt,Days,16,0.1841225942113709
bag_dt,Days,17,0.5434478966791724
bag_dt,Days,18,0.401568598197104
bag_dt,Days,19,0.3380895547385121
bag_dt,Days,20,0.3249602987829392
bag_dt,Days,21,-0.05335007428247818
bag_dt,Days,22,-0.03689266696289928
bag_dt,Days,23,0.5425481689626317
bag_dt,Days,24,1.0008324522982979
bag_dt,Days,25,0.5588429452209007
bag_dt,Days,26,0.5612583288535761
bag_dt,Days,27,0.48042423692099845
bag_dt,Days,28,0.9702059461503522
bag_dt,Days,29,1.0962159527209914
bag_dt,Days,30,0.4967504847668964
gradient_boost,GDP,1,0.06198571927085883
gradient_boost,GDP,2,0.6014658321427815
gradient_boost,GDP,3,0.10003235869319982
gradient_boost,GDP,4,0.18384858222773237
gradient_boost,GDP,5,0.18388802408715055
gradient_boost,GDP,6,0.0
gradient_boost,GDP,7,0.6014658321427815
gradient_boost,GDP,8,0.05439841283655156
gradient_boost,GDP,9,0.5750583360974617
gradient_boost,GDP,10,0.05435897097713338
gradient_boost,GDP,11,0.5867333831696901
gradient_boost,GDP,12,0.5750583360974617
gradient_boost,GDP,13,0.5867333831696901
gradient_boost,GDP,14,-0.002065193048519709
gradient_boost,GDP,15,0.05992052622233912
gradient_boost,GDP,16,0.21306884246980684
gradient_boost,GDP,17,0.574310764949227
gradient_boost,GDP,18,0.6014658321427815
gradient_boost,GDP,19,0.5616028162478232
gradient_boost,GDP,20,0.23947633851512662
gradient_boost,GDP,21,0.6202408871878787
gradient_boost,GDP,22,0.0
gradient_boost,GDP,23,0.5867333831696901
gradient_boost,GDP,24,0.562587379711383
gradient_boost,GDP,25,0.5918076399534574
gradient_boost,GDP,26,0.125202367474485
gradient_boost,GDP,27,-0.002065193048519709
gradient_boost,GDP,28,0.2097661621572523
gradient_boost,GDP,29,0.05538297630011124
gradient_boost,GDP,30,0.44068507489509123
gradient_boost,PM approval,1,-0.11324940198183664
gradient_boost,PM approval,2,-0.043055708744923926
gradient_boost,PM approval,3,0.1945919094728935
gradient_boost,PM approval,4,0.06087324438695474
gradient_boost,PM approval,5,-0.027683985045281467
gradient_boost,PM approval,6,0.0
gradient_boost,PM approval,7,-0.043055708744923926
gradient_boost,PM approval,8,0.21730948202753542
gradient_boost,PM approval,9,-0.10377767443838015
gradient_boost,PM approval,10,-0.12238599691072038
gradient_boost,PM approval,11,0.12156312284749338
gradient_boost,PM approval,12,-0.10377767443838015
gradient_boost,PM approval,13,0.12156312284749338
gradient_boost,PM approval,14,0.0
gradient_boost,PM approval,15,-0.11324940198183664
gradient_boost,PM approval,16,0.21653013267794186
gradient_boost,PM approval,17,-0.0261036603951601
gradient_boost,PM approval,18,-0.043055708744923926
gradient_boost,PM approval,19,0.21730948202753542
gradient_boost,PM approval,20,0.0439211960371908
gradient_boost,PM approval,21,0.21653013267794186
gradient_boost,PM approval,22,0.1945919094728935
gradient_boost,PM approval,23,0.12156312284749338
gradient_boost,PM approval,24,0.047593111030658664
gradient_boost,PM approval,25,-0.0300809030125615
gradient_boost,PM approval,26,0.08556541693655517
gradient_boost,PM approval,27,-0.060721965693456115
gradient_boost,PM approval,28,0.04678167444814729
gradient_boost,PM approval,29,0.0699777520829209
gradient_boost,PM approval,30,-0.015587664853634275
gradient_boost,Days,1,-0.13560787594080415
gradient_boost,Days,2,0.9964646262206867
gradient_boost,Days,3,0.5718946761696249
gradient_boost,Days,4,0.46837715686144776
gradient_boost,Days,5,0.4756969359360106
gradient_boost,Days,6,0.0
gradient_boost,Days,7,0.9964646262206867
gradient_boost,Days,8,0.21766915711192947
gradient_boost,Days,9,1.0122760776681858
gradient_boost,Days,10,0.19771618922525702
gradient_boost,Days,11,1.0366362899257637
gradient_boost,Days,12,1.0122760776681858
gradient_boost,Days,13,1.0366362899257637
gradient_boost,Days,14,0.4005869317395132
gradient_boost,Days,15,0.26497905579870906
gradient_boost,Days,16,0.3070141736901639
gradient_boost,Days,17,0.7572406776524573
gradient_boost,Days,18,0.9964646262206867
gradient_boost,Days,19,1.0537869620822693
gradient_boost,Days,20,0.29120272224266475
gradient_boost,Days,21,0.5838704913029887
gradient_boost,Days,22,0.01263318881210962
gradient_boost,Days,23,1.0366362899257637
gradient_boost,Days,24,1.1689516367358477
gradient_boost,Days,25,1.0075886535645637
gradient_boost,Days,26,0.5620637830876819
gradient_boost,Days,27,0.4005869317395132
gradient_boost,Days,28,0.7135816637952334
gradient_boost,Days,29,0.33283383176550785
gradient_boost,Days,30,0.557646824859033
