,Year,LDP_seats,lr,gradient_boost
0,1960,63.4,61.61,63.25
1,1963,60.6,58.1,58.23
2,1967,57,52.31,53.17
3,1969,59.3,60.69,59.3
4,1972,55.2,63.04,55.21
5,1976,48.7,46.14,48.18
6,1979,48.5,49.18,48.93
7,1980,55.6,56.57,58.47
8,1983,48.9,51.73,50.32
9,1986,58.6,59.42,61.92
10,1990,53.7,52.63,53.69
11,1993,43.6,42.45,43.6
12,1996,47.8,53.1,49.49
13,2000,48.5,44.62,48.5
14,2003,49.4,55.68,49.4
15,2005,61.7,56.44,61.65
16,2009,24.8,35.87,43.84
18,2014,61.1,58.77,61.12
19,2017,60.4,53.77,60.45
20,2021,56.1,45.37,51.95